stname,totchange,share,avgchange,avgpchange,avgxpincpchange
United States,-91223558596.01294,1,-1074.7593418499855,-0.053598945221635684,0.007611586340065475
Alabama,-309558323.6443367,0.0033934032875786806,-312.6404019187048,-0.022750740155779315,0.0026681147502383555
Alaska,-13542804.68868494,1.4845731625818035e-4,-63.28973084662721,-0.004358058263077472,5.160795658273615e-4
Arizona,-829018180.6038494,0.009087764096938912,-514.705770043809,-0.031649214404333006,0.00409978675367546
Arkansas,-324193877.3797054,0.003553839406938843,-563.683411893684,-0.03582243207509606,0.004466639317306867
California,-22949439343.165344,0.2515736033144445,-2189.36253740764,-0.08378505931105006,0.013262106569925203
Colorado,-1193031467.6910934,0.013078107081685768,-722.5679529145018,-0.03738108260749688,0.005078920379431968
Connecticut,-2840361566.5112076,0.0311362723645748,-2537.0615182522124,-0.08240909838177994,0.01398936971294779
Delaware,-172232908.41023874,0.0018880310202869727,-632.1391442900385,-0.04219303946787882,0.005185183734713367
Florida,-2715005992.3921967,0.02976211446010022,-522.8318603935368,-0.021377272733033924,0.0034307415798022142
Georgia,-1998587157.1964836,0.02190867346062769,-875.1281922971357,-0.04826413492126898,0.006417742309838534
Hawaii,-246818757.95181036,0.0027056471129881785,-596.4213478580768,-0.04190867681865572,0.00502588364550627
Idaho,-256498506.83160925,0.0028117573001895575,-667.0483954667925,-0.04948207150688251,0.00572469534474755
Illinois,-3836195496.072647,0.042052684143373396,-1078.4803425264581,-0.053900443379000094,0.007576886736399079
Indiana,-759815676.7274818,0.008329160673202357,-457.21502897570645,-0.0355744774239472,0.004091805830854806
Iowa,-518010011.4022255,0.005678467485534662,-611.633343067726,-0.048487727959681856,0.005355238108255597
Kansas,-427710069.9404106,0.004688592250983556,-584.5070011174084,-0.0398892225686511,0.004785329853607807
Kentucky,-576896590.2304058,0.0063239869076497516,-595.0044921693079,-0.048834134628813586,0.005442141829795899
Louisiana,-382190170.4309616,0.004189599444629271,-395.89905543669556,-0.026456706898802352,0.003282003502506099
Maine,-236449374.29237366,0.002591977093762576,-643.1078981373448,-0.053850761005766704,0.005935882384020601
Maryland,-2471573408.563305,0.02709358686070079,-1320.1288585975635,-0.06914591752729936,0.009243074272873374
Massachusetts,-3765299729.0348663,0.041275519032420584,-1659.3888391890541,-0.06216747978168051,0.009755037456322361
Michigan,-1567072055.765976,0.01717837014784542,-599.3795864644835,-0.03973634115833376,0.004987877317210177
Minnesota,-1913777602.5141296,0.020978984288360945,-1111.7549648543463,-0.06612734592833493,0.008451669744043176
Mississippi,-167714651.95147228,0.0018385015289110033,-309.1676511472615,-0.027851826523179978,0.0029974981739888146
Missouri,-989377422.7639961,0.010845635031028469,-663.5242030670379,-0.046659560631883416,0.005625143274439524
Montana,-160019693.9484372,0.0017541487792324636,-589.0248869120278,-0.044444117593492656,0.005177882573980292
Nebraska,-355917760.95721817,0.003901599174983008,-695.349943269588,-0.05111166837839427,0.005882647163071206
Nevada,-299083864.88448334,0.0032785814266355013,-392.0467005893988,-0.01991647720355174,0.0029249654876111466
New Hampshire,-221193941.64004803,0.00242474581176573,-487.85735680587095,-0.027270128429573014,0.0035775850847260815
New Jersey,-5781386362.09005,0.06337602315749534,-2087.238913905763,-0.08297041061341226,0.01275818318726585
New Mexico,-140301740.1645789,0.0015379989810078622,-307.744149013095,-0.025061339223969394,0.0028802723417410457
New York,-15293667720.558868,0.1676504178957485,-2703.471648487961,-0.09235821717529823,0.015898559259953447
North Carolina,-1628284167.2003937,0.017849382245778343,-693.7705193936763,-0.0447322284197756,0.005575513716059447
North Dakota,-47024364.05721903,5.154848679546502e-4,-210.96258369613497,-0.014733482361311551,0.0017428014439029287
Ohio,-1841687588.233467,0.02018872774290084,-599.9729590823899,-0.04512760158133628,0.005297349254477772
Oklahoma,-347111752.64378357,0.003805067002274943,-427.86560600667326,-0.02944873877605249,0.0035577846564200277
Oregon,-1149122328.1959133,0.012596771556400755,-1021.5800971967237,-0.06472269495937334,0.008087368793955947
Pennsylvania,-2638839086.1325455,0.028927166696256026,-727.901792834602,-0.04410433309274895,0.0057164057399118435
Rhode Island,-287231792.3227267,0.0031486580521896085,-892.7160798002242,-0.05777194895117614,0.007308567290114449
South Carolina,-644317423.7278881,0.007063059517128385,-572.3406703928522,-0.04081108299015094,0.004899232517076767
South Dakota,-42111680.37899876,4.616316336166183e-4,-179.28277743209583,-0.01290830132929552,0.0015278015978563999
Tennessee,-288625505.7179413,0.0031639360507314837,-189.9525560673119,-0.012335640337549714,0.0015604002761339974
Texas,-2577302304.1882935,0.02825259553403279,-395.5610527111203,-0.01848818180815612,0.0026708115735930914
Utah,-489560699.04049015,0.0053666038310183515,-688.9197280100889,-0.04384468043497375,0.005309222699610971
Vermont,-131735410.56239843,0.00144409418564555,-683.5775417808618,-0.05284982698906699,0.0060609584756968
Virginia,-2398849317.5508842,0.026296379515014113,-1005.9364848134501,-0.05180325199916288,0.00694905132074031
Washington,-714756574.9453354,0.007835219168665218,-317.281837439783,-0.015235840139989071,0.0021100908616904653
West Virginia,-133039361.73612785,0.0014583882034825875,-351.7504400393318,-0.03443463488993027,0.0035220612817877463
Wisconsin,-1275686101.8677921,0.01398417384172895,-752.4262953438301,-0.05534807401308055,0.006480100019969268
Wyoming,-60960819.36083841,6.682574139735741e-4,-391.019028307659,-0.017906523164393517,0.0026002506695760896
