stubnum,stub,avgval_base,avgval_reform,avgval_change,avgval_pchange
0,Overall average,20070.50723990509,19432.293873729246,-638.2133661758453,-0.031798566849716714
1,Under $1,2088.307201968847,2088.307201968847,0,0
2,$1 to < $25k,145.29499373749752,145.26524497526052,-0.02974876223700562,-2.047473314239051e-4
3,$25k < 50k,1398.6636928476564,1394.1937275892221,-4.469965258434286,-0.0031958828139261337
4,$50k < 75k,3728.2091587511673,3705.5057913726514,-22.70336737851585,-0.006089617403901439
5,$75k < $100k,6953.454589529278,6880.812556887372,-72.64203264190564,-0.010446898258499052
6,$100k < $200k,13872.280334105875,13533.165043473316,-339.11529063255875,-0.024445533284014054
7,$200k < $500k,48320.56766712763,45705.66172293503,-2614.9059441926,-0.05411579520766919
8,$500k < $1m,162767.14408082602,152136.73119458594,-10630.412886240083,-0.06531055727660424
9,$1m+,976434.0410728413,960625.885087769,-15808.155985072255,-0.016189681350829696
